,Disease,Symptoms
107,Bile duct obstruction,"Nausea and vomiting, fever, Fever-- usually low-grade, Clay-colored stools, Yellowing of skin and whites of the eyes (jaundice), Itching, Abnormal urine color, Stool abnormalities, including fatty stools that appear pale in color, frothy stools, and abnormally foul-smelling stools, Abdominal pain in the upper right side"
108,Binge eating disorder,"Eats large amounts of food in a short period, Is not able to control overeating, Eats food very fast each time, Keeps eating even when full (gorging) or until uncomfortably full, Eats even though not hungry, Eats alone (in secret), Feels guilty, disgusted, ashamed, or depressed after eating so much"
109,Bipolar disorder,"easily distracted, Excess involvement in activities, Little need for sleep, Poor judgment, Poor temper control, Lack of self-control and reckless behavior, Very irritable mood, racing thoughts, talking a lot, and false beliefs about self or abilities, Rapid speech, Concerns about things that are not true (delusions)"
110,Bladder cancer,"Pain in the abdomen, Increased need to urinate, Unintentional weight loss, Fatigue(Feeling Tired), Blood in the urine, Bone pain or tenderness, Leaking urine, Painful urination"
111,Bladder outlet obstruction,"Pain in the abdomen, Increased need to urinate, Inability to pass urine, Continuous feeling of a full bladder, Pain during urination (dysuria), Straining to urinate, Urinary tract infection, Waking up at night to urinate (nocturia)"
112,Bladder stones,"Pain in the abdomen, Blood in the urine, Inability to pass urine, Urination changes, such as little or no urine, excessive urination at night, or urination that stops completely, Abnormal urine color, Inability to urinate except in certain positions, Interruption of the urine stream, Pain, discomfort in the penis, Signs of UTI (such as fever, pain when urinating, and need to urinate often)"
113,Bleeding esophageal varices,"Blood in the stool, Vomiting blood, Paleness, Lightheadedness, Black, tarry stools, Symptoms of chronic liver disease"
114,Blockage of upper airway,"Difficulty breathing, Confusion, Wheezing, Having an unusual temper or agitation, Difficulty swallowing -- choking easily, drooling, or gagging, Unconsciousness, Bluish color to the lips and face (cyanosis), Altered level of consciousness"
115,Borderline personality disorder,"Intense fear of being abandoned, Can't tolerate being alone, Feelings of emptiness and boredom, Displays of inappropriate anger, Impulsiveness, such as with substance use or sexual relationships, Self-injury, such as wrist cutting or overdosing"
116,Botulism,"Nausea and vomiting, Difficulty breathing, Vision problems, or functional blindness, Abdominal cramps, Weakness with paralysis"
117,Brain abscess,"Convulsions (seizures), Headache, fever, Fever-- usually low-grade, Chills, Vision problems, or functional blindness, Language problems, such as trouble remembering the names of familiar objects, Vomiting, Changes in mental status, such as confusion, slow response or thinking, unable to focus, or sleepiness, Decreased ability to feel touch or pain (sensation), Loss of muscle function, typically on one side, Weakness in a limb"
118,Brain herniation,"Stopped breathing or respiratory arrest, Coma (lack of responsiveness), Headache, weakness, High blood pressure, Reduced pulse, cardiac arrest, Wide (dilated) pupils and no movement in one or both eyes"
119,Branchial cleft cyst,"Small pits, lumps, or skin tags at either side of the neck or just below the jawbone, Fluid drainage from a pit on the neck, Noisy breathing"
120,Breast cancer,"Bone pain or tenderness, Breast lump or lump in the armpit that is hard, has uneven edges, and usually does not hurt, Change in the size, shape, or feel of the breast or nipple, Fluid from the nipple, fluid may be bloody, clear to yellow, green, or look like pus"
121,Bronchiectasis,"Unintentional weight loss, Fatigue(Feeling Tired), Shortness of breath, Fever-- usually low-grade, Wheezing, Breath odor and metallic taste in the mouth, Paleness, Night sweats, Coughing up blood"
122,Bronchiolitis,"Bluish skin(fingernails and lips), Cough, Fatigue(Feeling Tired), Shortness of breath, fever, Rapid respiratory rate, Fever-- usually low-grade, Wheezing, Muscles around the ribs sink in as the child tries to breathe in (called intercostal retractions), Infant's nostrils get wide when breathing"
123,Brown recluse spider,"Nausea and vomiting, Excessive sweating, fever, Fever-- usually low-grade, Chills, Itching, Reddish or purplish color in a circle around spider bite, Large sore (ulcer) in the area of the bite"
124,Bunions,"Red, thickened skin along the inside edge at the base of the big toe, A bony bump at the first toe joint, with decreased movement in the toe site, Pain over the joint, which pressure from shoes makes worse, Big toe turned outward toward the other toes and may cross over the second toe, as a result, corns and calluses often develop where the first and second toes overlap, Difficulty wearing regular shoes"
125,Campylobacter infection,"Nausea and vomiting, fever, Fever-- usually low-grade, Cramping abdominal pain, Watery diarrhea, sometimes bloody"
126,Canavan disease,"Convulsions (seizures), Difficulty swallowing liquids and solids, Irritability, Abnormal posture with flexed arms and straight legs, Feeding problems, Increasing head size, Poor muscle tone, especially of the neck muscles, A lack of head control when baby is pulled from a lying to a sitting position, Poor visual tracking, or blindness, Reflux with vomiting, Severe intellectual disability"
127,Canker sore,"One or more painful, red spots or bumps that develops into an open ulcer, White or yellow center sores on the inner surface of the cheeks and lips, tongue, upper surface of the mouth, and the base of the gums, Small size (most often under one third inch or 1 centimeter across) sores  on the inner surface of the cheeks and lips, tongue, upper surface of the mouth, and the base of the gums, Gray color as healing starts on the sores developed on the inner surface of the cheeks and lips, tongue, upper surface of the mouth, and the base of the gums"
128,Carcinoid syndrome,"Difficulty breathing, Wheezing, diarrhea, Flushing (face, neck, or upper chest), or widened blood vessels seen on the skin (telangiectasias), Heart problems, such as leaking heart valves, slow heartbeat, low or high blood pressure"
129,Cardiac amyloidosis,"Shortness of breath that gets worse with activity, Urination changes, such as little or no urine, excessive urination at night, or urination that stops completely, Swelling of legs, Swelling of arms, Swelling of hands, Swelling of feet, Swelling of abdomen, Palpitations, Fatigue, reduced exercise ability, Trouble breathing while lying down"
130,Cardiac arrest,"Fainting/Drowsiness, Nausea and vomiting, Stopped breathing or respiratory arrest, Shortness of breath, Unconsciousness, chest pain, Decreased or no pulse in an arm or leg, A racing heart"
131,Carpal tunnel syndrome,"Clumsiness of the hand when gripping objects, Numbness or tingling or tingling in the thumb and next two or three fingers of one or both hands, Numbness or tingling of the palm of the hand, Pain that extends to the elbow, Pain in the wrist or hand in one or both hands, Problems with fine finger movements (coordination) in one or both hands, Wasting away of the muscle under the thumb (in advanced or long-term cases), Weak grip, Weakness in one or both hands"
132,Cataract - adult,"Being sensitive to glare, Cloudy, fuzzy, foggy, or filmy vision, Difficulty seeing at night or in dim light, Double vision, Loss of color intensity, Problems seeing shapes against a background or the difference between shades of colors, Seeing halos around lights, Frequent changes in eyeglass prescriptions"
133,Catheter-related UTI,"Blood in the urine, Abnormal urine color, Foul or strong urine odor, Frequent and strong urge to urinate, Pressure, pain, or spasms in your back or the lower part of your belly"
134,Cavernous sinus thrombosis,"Loss of vision, Headache, Drooping eyelids, Bulging eyeball, usually on one side of face, Cannot move the eye in a particular direction"
135,Celiac disease  sprue,"Pain in the abdomen, Unintentional weight loss, Bloating or abdominal gas, Indigestion, Constipation, Decreased appetite (may also be increased or unchanged), Diarrhea, either constant or off and on, Lactose intolerance (common when the person is diagnosed, often goes away after treatment), Stools that are foul smelling, oily, or stick to the toilet when flushed"
136,Cellulitis,"Nausea and vomiting, Fatigue(Feeling Tired), Fever with chills and sweating, Pain or tenderness in the affected area, Skin redness or inflammation that gets bigger as the infection spreads, Skin sore or rash that starts suddenly, and grows quickly in the first 24 hours, Tight, glossy, stretched appearance of the skin, Warm skin in the area of redness, Muscle aches and joint stiffness from swelling of the tissue over the joint"
137,Central serous choroidopathy,"Dim and blurred blind spot in the center of vision, Distortion of straight lines with the affected eye, Objects appearing smaller or farther away with the affected eye"
138,Cerebral amyloid angiopathy,"Fainting/Drowsiness, Convulsions (seizures), Stupor (lack of alertness), Headache, Vomiting, Nervous system changes that may start suddenly, including confusion, delirium, double vision, decreased vision, sensation changes, speech problems, weakness, or paralysis, Episodes of confusion, Headaches that come and go, Loss of mental function (dementia), Weakness or unusual sensations that come and go, and involve smaller areas"
139,Cerebral arteriovenous malformation,"Fainting/Drowsiness, Convulsions (seizures), Confusion, Vision problems, or functional blindness, Walking difficulty, Ear noise/buzzing (also called pulsatile tinnitus), Headache in one or more parts of the head, may seem like a migraine, Muscle weakness, Numbness in an area of the body"
140,Cerebral hypoxia,"Incoordination, Poor judgment, Change in attention (inattentiveness), Speech disorder"
141,Cervical cancer,"Abnormal vaginal bleeding between periods, after intercourse, or after menopause, Vaginal discharge that does not stop, and may be pale, watery, pink, brown, bloody, or foul-smelling, Periods that become heavier and last longer than usual"
142,Cervical polyps,"Heavy menstrual periods, Vaginal bleeding after douching or intercourse, Abnormal vaginal bleeding after menopause or between periods, White or yellow mucus (leukorrhea)"
143,Cervical spondylosis,"Neck stiffness that gets worse over time, Numbness or abnormal sensations in the shoulders or arms, Headaches, especially in the back of the head, Pain on the inside of the shoulder blade and shoulder pain"
144,Cervicitis,"Painful urination, Abnormal vaginal bleeding between periods, after intercourse, or after menopause, Unusual vaginal discharge that does not go away: discharge may be gray, white or yellow in color, Painful sexual intercourse, Pain in the vagina, Pressure or heaviness in the pelvis, Vaginal itching"
145,Chediak-Higashi syndrome,"Silver hair, light-colored eyes (albinism), Increased infections in the lungs, skin, and mucous membranes, Jerky eye movements (nystagmus)"
146,Chickenpox,"Pain in the abdomen, Headache, fever, Fever-- usually low-grade, The blisters are most often first seen on the face, middle of the body, or scalp, after a day or two, the blisters become cloudy and then scab, meanwhile, new blisters form in groups, they often appear in the mouth, in the vagina, and on the eyelids"
147,Chikungunya virus,"Nausea and vomiting, Headache, Joint pain, fever, Rashes, Joint swelling, Muscle pain"
148,Chlamydia,"Burning sensation when urinating, Painful sexual intercourse, Discharge from the penis or rectum, Tenderness or pain in the testicles, Rectal discharge or pain, Symptoms of pelvic inflammatory disease (PID), salpingitis (inflammation of the fallopian tubes), or liver inflammation similar to hepatitis"
149,Cholangiocarcinoma,"Unintentional weight loss, fever, Loss of appetite, Fever-- usually low-grade, Clay-colored stools, Yellowing of skin and whites of the eyes (jaundice), Chills, Itching, dark urine, Pain in the upper right abdomen that may radiate to the back"
150,Cholangitis,"Nausea and vomiting, fever, Fever-- usually low-grade, Clay-colored stools, Yellowing of skin and whites of the eyes (jaundice), Chills, dark urine, Pain on the upper right side or upper middle part of the abdomen, it may also be felt in the back or below the right shoulder blade, the pain may come and go and feel sharp, cramp-like, or dull"
151,Choledocholithiasis,"Nausea and vomiting, fever, Loss of appetite, Fever-- usually low-grade, Clay-colored stools, Yellowing of skin and whites of the eyes (jaundice), Pain in the right upper or middle upper abdomen for at least 30 minutes,the pain may be constant and intense, it can be mild or severe"
152,Cholera,"Nausea and vomiting, Decreased urine output, Lethargy, Dehydration, Excessive thirst, Abdominal cramps, Dry mouth, Dry skin, Glassy or sunken eyes, Lack of tears, Unusual sleepiness or tiredness"
153,Cholestasis,"Nausea and vomiting, Clay-colored stools, Itching, dark urine, Inability to digest certain foods, Pain in the right upper part of the abdomen, Yellow skin or eyes"
154,Chronic cholecystitis,"Nausea and vomiting, fever, Fever-- usually low-grade, Pain that spreads to your back or below your right shoulder blade, Clay-colored stools, Yellowing of skin and whites of the eyes (jaundice), Sharp, cramping, or dull pain in upper right or upper middle of your belly lasting for 30 minutes"
155,Chronic inflammatory demyelinating polyneuropathy,"Difficulty breathing, Incoordination, Problems walking due to weakness or lack of feeling in the feet, Trouble using the arms and hands or legs and feet due to weakness, Sensation changes, such as numbness or decreased sensation, pain, burning, tingling, or other abnormal sensations (usually affects the feet first, then the arms and hands)"
156,Chronic kidney disease,"Fainting/Drowsiness, Nausea and vomiting, Unintentional weight loss, Fatigue(Feeling Tired), Headache, Loss of appetite, Breath odor and metallic taste in the mouth, Persistent hiccups, Easy bruising and bleeding, Bone pain or tenderness, Muscle twitching, Itching, Excessive thirst, Numbness and tingling of hands or feet, Dry skin"
157,Chronic lymphocytic leukemia,"Unintentional weight loss, Fatigue(Feeling Tired), Excessive sweating, fever, Loss of appetite, Fever-- usually low-grade, Enlarged lymph nodes, liver, or spleen, Infections that keep coming back (recur), despite treatment"
158,Chronic motor or vocal tic disorder,"Excessive blinking, Grimaces of the face, Quick movements of the arms, legs, or other areas, Sounds (grunts, throat clearing, contractions of the abdomen or diaphragm)"
159,Chronic myelogenous leukemia,"Fatigue(Feeling Tired), weakness, Excessive sweating, fever, Fever-- usually low-grade, Easy bruising and bleeding, Rash, small pinpoint red marks on the skin (petechiae), Pressure under the lower left ribs from a swollen spleen"
160,Chronic obstructive pulmonary disease,"Fatigue(Feeling Tired), Shortness of breath that gets worse with activity, Wheezing, Cough, with or without mucus, Frequent respiratory infections, Trouble catching one's breath"
161,Chronic pancreatitis,"Nausea and vomiting, diarrhea, Abdominal pain, more so in the right, upper part of the abdomen; pain is intense, continuous or stabbing, Vomiting, Stools that are foul smelling, oily, or stick to the toilet when flushed, Abdominal pain may last from hours to days; over time, may always be present, Abdominal pain may get worse from eating, Abdominal pain may get worse from drinking alcohol, Chronic weight loss, even when eating habits and amounts are normal"
162,Chronic subdural hematoma,"Fainting/Drowsiness, Coma (lack of responsiveness), Convulsions (seizures), Stupor (lack of alertness), Headache, Walking difficulty, Decreased memory, Problem speaking , Weakness or numbness of arms, legs, face"
163,Chronic thyroiditis (Hashimoto disease),"Fatigue(Feeling Tired), Heavy menstrual periods, Constipation, Difficulty in thinking, Dry skin, Enlarged neck or presence of goiter, which may be the only early symptom, Hair loss, Intolerance to cold, weight gain, Small or shrunken thyroid gland (late in the disease)"
164,Chylomicronemia syndrome,"Abdominal pain due to pancreatitis (inflammation of the pancreas), Symptoms of nerve damage, such as loss of feeling in the feet or legs, and memory loss, Yellow deposits of fatty material in the skin called xanthomas, these growths may appear on the back, buttocks, soles of the feet, or ankles, knees and elbows"
165,Cirrhosis,"Nausea and vomiting, Stupor (lack of alertness), Unintentional weight loss, Fatigue(Feeling Tired), Loss of appetite, Clay-colored stools, Yellowing of skin and whites of the eyes (jaundice), Small, red spider-like blood vessels on the skin, Fluid buildup in the legs (edema) and in the abdomen (ascites), Redness on the palms of the hands, In men, impotence, shrinking of the testicles, and breast swelling, Easy bruising and abnormal bleeding, most often from swollen veins in the digestive tract, Bleeding from upper or lower gastrointestinal tract"
166,Cleidocranial dysostosis,"Ability to touch shoulders together in front of body, Delayed closure of fontanelles (""soft spots""), Loose joints, Prominent forehead (frontal bossing), Short forearms, Short fingers, Short stature, Increased risk of getting flat foot, abnormal curvature of spine (scoliosis) and knee deformities, High risk of hearing loss due to infections, Increased risk of fracture due to decreased bone density"
167,CMV - gastroenteritis/colitis,"Pain in the abdomen, Nausea and vomiting, Difficulty swallowing liquids and solids, Unintentional weight loss, Blood in the stool, diarrhea"
168,CMV pneumonia,"Cough, Fatigue(Feeling Tired), Shortness of breath, Joint pain, fever, Loss of appetite, Fever-- usually low-grade, Night sweats, Malaise(general discomfortness,ill feeling or uneasiness)"
169,CMV retinitis,"Blurred vision, Blind spots, Floaters"
170,Coarctation of the aorta,"Fainting/Drowsiness, Shortness of breath, Headache, Nosebleeds, Slowed growth, chest pain, Leg cramps, Loss of ability to exercise, Cold feet or legs, Failure to thrive"
171,Colitis,"Pain in the abdomen, Blood in the stool, Dehydration, fever, Fever-- usually low-grade, diarrhea, Constant urge to have a bowel movement"
172,Collapsed lung (pneumothorax),"Rapid heart rate, Shock, Fatigue(Feeling Tired), Shortness of breath, Chest tightness or congestion, Lightheadedness, Bluish color to the lips and face (cyanosis), Sharp chest or shoulder pain, made worse by a deep breath or a cough, Nasal flaring"
173,Colorado tick fever,"Nausea and vomiting, Stupor (lack of alertness), Lethargy, Excessive sweating, Light sensitivity, Rashes, Feeling weak all over and muscle aches, Headache behind the eyes (typically during fever), Skin pain"
174,Colorectal cancer,"Unintentional weight loss, Blood in the stool, diarrhea, Constipation, Change in bowel habits, Abdominal pain and tenderness in the lower abdomen, Narrow stools"
175,Common cold,"Cough, Headache, Nasal congestion, Runny nose, Sneezing, Scratchy throat"
176,Common peroneal nerve dysfunction,"Walking difficulty, Decreased sensation, numbness, or tingling in the top of the foot or the outer part of the upper or lower leg, Foot that drops (unable to hold the foot up), ""Slapping"" gait (walking pattern in which each step makes a slapping noise), Toes drag while walking, Weakness of the ankles or feet, Loss of muscle mass because the nerves aren't stimulating the muscles"
177,Compartment syndrome,"Paleness, general swelling, Pain that is much higher than expected with the injury, Severe pain that doesn't go away after taking pain medicine or raising the affected area, Decreased sensation, numbness, tingling, weakness of the affected area"
178,Complex regional pain syndrome,"Joint pain, Changes in muscle tone, especially muscle spasms and uncontrolled movements, Changes in skin temperature, switching between warm or cold, Faster growth of nails and hair, Severe burning, aching pain that worsens with the slightest touch or breeze, Skin that slowly becomes blotchy, purple, pale, or red; thin and shiny; swollen; more sweaty"
179,Concussion,"Nausea and vomiting, Headache, Unconsciousness, Acting somewhat confused, feeling unable to concentrate, or not thinking clearly, Being drowsy, hard to wake up, or similar changes, Memory loss (amnesia) of events before the injury or right after, Seeing flashing lights, light sensitivity, Feeling like you have ""lost time"", Sleep abnormalities"
180,Conduct disorder,"Breaking rules without clear reason, Cruel or aggressive behavior toward people or animals (for example: bullying, fighting, using dangerous weapons, forcing sexual activity, and stealing), Not going to school (truancy, beginning before age 13), Heavy drinking or drug use, Intentionally setting fires, Lying to get a favor or avoid things they have to do, Running away, Vandalizing or destroying property"
181,Congenital cataract,"An infant does not seem to be visually aware of the world around them (if cataracts are in both eyes), Gray or white cloudiness of the pupil (which is normally black), The ""red eye"" glow (red reflex) of the pupil is missing in photos, or is different between the 2 eyes, Unusual rapid eye movements (nystagmus)"
182,Congenital cytomegalovirus,"Convulsions (seizures), Yellowing of skin and whites of the eyes (jaundice), Rashes, Small head size compared to body, flattened back of head, Enlarged lymph nodes, liver, or spleen, Inflammation of the retina, Low birth weight, Mineral deposits in the brain"
183,Congenital fibrinogen deficiency,"Easy bruising and bleeding, Bleeding from the umbilical cord just after birth, Bleeding in the mucous membranes, Bleeding in the brain, Bleeding in the joints, Heavy bleeding after injury or surgery, Nosebleeds that do not stop easily"
184,Congenital nephrotic syndrome,"Cough, Decreased urine output, Loss of appetite, general swelling, Low birth weight, Foamy appearance of urine"
185,Conjunctivitis or pink eye,"Light sensitivity, Intense itching or burning eyes, Red eyes, Tearing (watery eyes), Blurred vision, Crusts that form on the eyelid overnight (most often caused by bacteria), Eye pain, Gritty feeling in the eyes"
186,Coronavirus,"Nausea and vomiting, Cough, Shortness of breath, Headache, diarrhea, Chills, Sore throat, Nasal congestion, Runny nose, Sneezing, Coughing up blood, Fever with chills and sweating, Body aches"
187,Cranial mononeuropathy III,"Headache, Drooping eyelids, Double vision, Eye pain, Enlarged pupil that does not get smaller when a light shines on it"
188,Craniopharyngioma,"Increasing pressure on the brain, usually from hydrocephalus, Disrupting hormone production by the pituitary gland, Pressure or damage to the optic nerve"
189,Creutzfeldt-Jakob disease,"Convulsions (seizures), Stupor (lack of alertness), Lack of coordination, Sleepiness, Muscle twitching, Personality changes and loss of social skills, Hallucinations, Blurred vision, Problem speaking , Dementia that gets worse quickly over a few weeks or months, Changes in gait (walking), Feeling nervous"
190,Crohn disease,"Unintentional weight loss, Fatigue(Feeling Tired), fever, Loss of appetite, Fever-- usually low-grade, Cramping abdominal pain, Feeling that you need to pass stools, even though your bowels are already empty (tenesmus), it may involve straining, pain, and cramping, Watery diarrhea, which may be blood"
191,Cryoglobulinemia,"Difficulty breathing, Fatigue(Feeling Tired), Joint pain, Bluish skin, especially on the fingers (Raynaud phenomenon), Muscle pain, Glomerulonephritis (kidney inflammation), Purpura, Skin death, Skin ulcers"
192,Cryptosporidium enteritis,"Nausea and vomiting, Unintentional weight loss, Malaise(general discomfortness,ill feeling or uneasiness), Abdominal cramps, Diarrhea, which is often watery, non-bloody, large-volume, and occurs many times a day"
193,Curvature of the penis,"A bend in the penis, which most often begins at the area where you feel the scar tissue or hardening, Softening of the portion of the penis beyond the area of scar tissue, Narrowing of the penis, Problems with penetration or pain during intercourse, Shortening of the penis"
194,Cystitis - acute,"Blood in the urine, Fever-- usually low-grade, Foul or strong urine odor, Foamy appearance of urine, Pain or burning with urination, Pressure or cramping in the lower middle abdomen or back, Strong need to urinate often, even right after the bladder has been emptied"
195,Cytomegalovirus (CMV) infection,"Fatigue(Feeling Tired), fever, Loss of appetite, Fever-- usually low-grade, Malaise(general discomfortness,ill feeling or uneasiness), Sore throat, Rashes, Feeling weak all over and muscle aches, Enlarged lymph nodes, especially in the neck"
196,Deep vein thrombosis,"Pain in the arms or legs, Swelling of legs, Swelling of arms, Skin redness, Skin that feels warm to the touch"
197,Dehydration,"Decreased urine output, Headache, Excessive thirst, Muscle cramps, dark urine, Dry skin, Dry or sticky mouth"
198,Delirium,"Fainting/Drowsiness, Stupor (lack of alertness), Incoordination, Altered level of consciousness, Changes in alertness (usually more alert in the morning, less alert at night), Changes in feeling (sensation) and perception, Decrease in short-term memory and recall, Disorganized thinking, such as talking in a way that doesn't make sense, Emotional or personality changes, such as anger, agitation, depression, irritability, and overly happy, Incontinence, Movements triggered by changes in the nervous system, Problem concentrating"
199,Delirium tremens,"Stupor (lack of alertness), Fatigue(Feeling Tired), Sleepiness, fever, Fever-- usually low-grade, Having an unusual temper or agitation, Light sensitivity, Hallucinations, Irritability, Restlessness, tremor in full body, Changes in mental function, Deep sleep that lasts for a day or longer, Sudden, severe confusion (delirium), Excitement or fear, Bursts of energy, Quick mood changes, Sensitivity to light, sound, touch"
200,Dementia,"Misplacing items, Difficulty doing more than one task at a time, Difficulty solving problems or making decisions, Forgetting names of familiar people, recent events, or conversations, Taking longer to do more difficult mental activities, Personality changes and loss of social skills, which can lead to inappropriate behaviors, Losing interest in things previously enjoyed, flat mood, Getting lost on familiar routes.1"
201,Dengue fever,"Nausea and vomiting, Difficulty breathing, Cough, Fatigue(Feeling Tired), Headache, Joint pain, Swollen lymph nodes in the neck, under arms, and groin, Sore throat, Nasal congestion, Muscle aches and joint stiffness from swelling of the tissue over the joint, Headaches, especially in the back of the head"
202,Dependent personality disorder,"Avoiding being alone, Avoiding personal responsibility, Becoming easily hurt by criticism or disapproval, Becoming overly focused on fears of being abandoned, Becoming very passive in relationships, Feeling very upset or helpless when relationships end, Having difficulty making decisions without support from others, Having problems expressing disagreements with others"
203,Dermatitis herpetiformis,"Extremely itchy bumps or blisters, most often on the elbows, knees, back, and buttocks, Rashes that are usually the same size and shape on both sides, The rash can look like eczema, Scratch marks and skin erosions instead of blisters in some people"
204,Dermatomyositis,"Difficulty swallowing liquids and solids, Shortness of breath, Muscle stiffness, Muscle weakness, Purple color to the upper eyelids, Purple-red skin rash"
205,Developmental coordination disorder,"Clumsiness, Delays in sitting up, crawling, and walking, Problems with sucking and swallowing during first year of life, Problems with gross motor coordination (for example, jumping, hopping, or standing on one foot), Problems with visual or fine motor coordination (for example, writing, using scissors, tying shoelaces, or tapping one finger to another)"
206,Diabetes,"Increased need to urinate, Unintentional weight loss, Fatigue(Feeling Tired), Excessive thirst, Blurred vision, Hunger"
207,Dilated cardiomyopathy,"Cough, Fatigue(Feeling Tired), Shortness of breath, weakness, Loss of appetite, Swelling of feet, Unconsciousness, Irregular heartbeat, slow or fast pulse, Chest pain or pressure (more likely with exercise), swelling of ankles"
208,Diphtheria,"Bluish skin(fingernails and lips), Difficulty breathing, Difficulty swallowing liquids and solids, Hoarseness, fever, Fever-- usually low-grade, Chills, Sore throat, Tongue thrusting, drooling, Skin sores (lesions), Croup-like (barking) cough, Bloody, watery drainage from nose"
209,Diskitis,"Pain in the abdomen, fever, Back pain, Fever-- usually low-grade, Stiffness in the neck, Irritability, Difficulty getting up and standing, Increased curvature of the back, Sweating at night, Recent flu-like symptoms, Refusal to sit up, stand, or walk (younger child), neck pain, back stiffness"
210,Disseminated intravascular coagulation (DIC),"Confusion, Shortness of breath, fever, Fever-- usually low-grade, Easy bruising and bleeding, Bleeding, from many sites in the body, Blood clots, Drop in blood pressure"
211,Disseminated tuberculosis,"Pain in the abdomen, Cough, Unintentional weight loss, Shortness of breath, Excessive sweating, Joint pain, fever, Fever-- usually low-grade, Swelling of abdomen, Malaise(general discomfortness,ill feeling or uneasiness), Chills, Pale skin due to anemia (pallor), Swollen glands"
212,Distal renal tubular acidosis,"Confusion, Fatigue(Feeling Tired), Rapid respiratory rate, Kidney stones, Muscle weakness, Impaired growth in children, Nephrocalcinosis (too much calcium deposited in the kidneys), Osteomalacia (softening of the bones)"
213,Diverticulitis,"Nausea and vomiting, fever, Fever-- usually low-grade, Bloating or abdominal gas, Chills, Tenderness, usually in the left lower part of the abdomen, Not feeling hungry and not eating"
214,Double aortic arch,"Wheezing, Difficulty swallowing -- choking easily, drooling, or gagging, Vomiting, Noisy breathing, High-pitched sound during breathing (stridor), Repeated pneumonias"
215,Double inlet left ventricle,"Bluish skin(fingernails and lips), Difficulty breathing, Excessive sweating, Swelling of legs, Swelling of abdomen, Blue lips and fingernails, Failure to gain weight, Pale color of the arm or leg (pallor)"
216,Double outlet right ventricle,"Rapid heart rate, Bluish skin(fingernails and lips), Difficulty breathing, Excessive sweating, Rapid respiratory rate, Heart murmur, Swelling of legs, Swelling of abdomen, Blue lips and fingernails, Failure to gain weight, Pale color of the arm or leg (pallor)"
217,Down syndrome,"Decreased muscle tone at birth, Excess skin at the nape of the neck, Flattened nose, Separated joints between the bones of the skull (sutures), Single crease in the palm of the hand.1, Small ears, Small mouth, Upward slanting eyes, Wide, short hands with short fingers, White spots on the colored part of the eye (Brushfield spots)"
218,Dysarthria,"Sounding as though they are mumbling, Speaking softly or in a whisper, Speaking in a nasal or stuffy, hoarse, strained, or breathy voice"
219,Dysgraphia,"Errors in grammar and punctuation, Poor handwriting, Poor spelling, Poorly organized writing, The need to say words aloud when writing"
220,E coli enteritis,"fever, Loss of appetite, Fever-- usually low-grade, Abdominal cramps, Excessive gas, Vomiting"
221,Ear barotrauma,"Fainting/Drowsiness, Hearing loss, Ear discomfort or pain in one or both ears, Sensation of fullness or stuffiness in the ears"
222,Ear infection,"Cough, Lethargy, Hearing loss, Loss of appetite, diarrhea, Nasal congestion, Vomiting, Ear discomfort or pain in one or both ears, Sensation of fullness or stuffiness in the ears, Drainage of fluid from the ear"
223,Ebola virus disease,"Pain in the abdomen, Fatigue(Feeling Tired), Headache, weakness, fever, diarrhea, Chills, Sore throat, Rashes, Vomiting, Muscle pain"
224,Echinococcosis,"Cough, Swelling of abdomen, chest pain, Bloody sputum, Pain in the upper right part of the abdomen, Severe allergic reaction"
225,ECHO virus,"Headache, Sore throat, Rashes, chest pain, Croup-like (barking) cough, Mouth sores"
226,Ectodermal dysplasias,"Cleft palate, Large forehead and flat bridge of the nose, Abnormal nails, Abnormal or missing teeth, or fewer than normal number of teeth, Decreased skin color (pigment), Low nasal bridge, Thin, sparse hair, Learning disabilities, Poor hearing, Poor vision with decreased tear production, Weakened immune system"
227,Ehlers-Danlos syndrome,"Joint pain, Back pain, Easy bruising and bleeding, Vision problems, or functional blindness, Double-jointedness, Easy scarring and poor wound healing, Flat feet, Increased joint mobility, joints popping, early arthritis, Joint dislocation, Very soft and velvety skin"
228,Eisenmenger syndrome,"Fainting/Drowsiness, Bluish skin(fingernails and lips), Fatigue(Feeling Tired), Shortness of breath, Palpitations, Coughing up blood, chest pain, Stroke symptoms, Bluish color to the lips and face (cyanosis), Rounded fingernails and toenails (clubbing), Numbness and tingling of fingers and toes, Swelling in the joints caused by too much uric acid (gout)"
229,Ellis-van Creveld syndrome,"Delayed teeth, Cleft palate, Epispadias or undescended testicle (cryptorchidism), Extra fingers (polydactyly), Limited range of motion, Nail problems, including missing or deformed nails, Short arms and legs, especially forearm and lower leg, Short height, between 3.5 to 5 feet (1 to 1.5 meters) tall, Sparse, absent, or fine textured hair, Tooth abnormalities, such as peg teeth, widely-spaced teeth, Teeth present at birth (natal teeth)"
230,Empyema,"Unintentional weight loss, Shortness of breath, Excessive sweating, fever, Malaise(general discomfortness,ill feeling or uneasiness), Chills, Chest pain, which worsens when you breathe in deeply (pleurisy), Dry cough"
231,Encephalitis,"Fainting/Drowsiness, Confusion, Headache, Loss of appetite, Fever-- usually low-grade, Light sensitivity, Vomiting, Poor temper control, Clumsiness"
